#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1912936,64690277,F5147DRAFT_101009,F5147DRAFT_101009,-,-,Unknown,-,tRNA-guanine(15) transglycosylase-like protein,protein-coding,-,-,-,tRNA-guanine(15) transglycosylase-like protein,20210605,-
1912936,64696634,F5147DRAFT_658083,F5147DRAFT_658083,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696635,F5147DRAFT_658085,F5147DRAFT_658085,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696636,F5147DRAFT_658086,F5147DRAFT_658086,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696637,F5147DRAFT_658087,F5147DRAFT_658087,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696638,F5147DRAFT_658093,F5147DRAFT_658093,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696639,F5147DRAFT_658098,F5147DRAFT_658098,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696640,F5147DRAFT_658104,F5147DRAFT_658104,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696641,F5147DRAFT_658105,F5147DRAFT_658105,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696642,F5147DRAFT_658108,F5147DRAFT_658108,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696643,F5147DRAFT_658111,F5147DRAFT_658111,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696644,F5147DRAFT_658137,F5147DRAFT_658137,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696645,F5147DRAFT_658140,F5147DRAFT_658140,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696646,F5147DRAFT_658146,F5147DRAFT_658146,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696647,F5147DRAFT_658149,F5147DRAFT_658149,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696648,F5147DRAFT_658150,F5147DRAFT_658150,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696649,F5147DRAFT_658152,F5147DRAFT_658152,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696650,F5147DRAFT_658154,F5147DRAFT_658154,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696651,F5147DRAFT_658155,F5147DRAFT_658155,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696652,F5147DRAFT_658156,F5147DRAFT_658156,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696653,F5147DRAFT_658157,F5147DRAFT_658157,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696654,F5147DRAFT_658159,F5147DRAFT_658159,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696655,F5147DRAFT_658160,F5147DRAFT_658160,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696656,F5147DRAFT_658188,F5147DRAFT_658188,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696657,F5147DRAFT_658189,F5147DRAFT_658189,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696658,F5147DRAFT_658190,F5147DRAFT_658190,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696659,F5147DRAFT_658200,F5147DRAFT_658200,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696660,F5147DRAFT_658202,F5147DRAFT_658202,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696661,F5147DRAFT_658203,F5147DRAFT_658203,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696662,F5147DRAFT_658220,F5147DRAFT_658220,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696663,F5147DRAFT_658229,F5147DRAFT_658229,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696664,F5147DRAFT_658232,F5147DRAFT_658232,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696665,F5147DRAFT_658243,F5147DRAFT_658243,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696666,F5147DRAFT_658245,F5147DRAFT_658245,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696667,F5147DRAFT_658253,F5147DRAFT_658253,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696668,F5147DRAFT_658257,F5147DRAFT_658257,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696669,F5147DRAFT_658265,F5147DRAFT_658265,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696670,F5147DRAFT_658269,F5147DRAFT_658269,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696671,F5147DRAFT_658271,F5147DRAFT_658271,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696672,F5147DRAFT_658277,F5147DRAFT_658277,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696673,F5147DRAFT_658280,F5147DRAFT_658280,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696674,F5147DRAFT_658284,F5147DRAFT_658284,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696675,F5147DRAFT_658289,F5147DRAFT_658289,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696676,F5147DRAFT_658290,F5147DRAFT_658290,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696677,F5147DRAFT_658296,F5147DRAFT_658296,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696678,F5147DRAFT_658313,F5147DRAFT_658313,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696679,F5147DRAFT_658321,F5147DRAFT_658321,-,-,Unknown,-,Phox homologous domain-containing protein,protein-coding,-,-,-,Phox homologous domain-containing protein,20210605,-
1912936,64696680,F5147DRAFT_658328,F5147DRAFT_658328,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696681,F5147DRAFT_658329,F5147DRAFT_658329,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696682,F5147DRAFT_658330,F5147DRAFT_658330,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696683,F5147DRAFT_658332,F5147DRAFT_658332,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696684,F5147DRAFT_658334,F5147DRAFT_658334,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696685,F5147DRAFT_658335,F5147DRAFT_658335,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696686,F5147DRAFT_658337,F5147DRAFT_658337,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696687,F5147DRAFT_658338,F5147DRAFT_658338,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696688,F5147DRAFT_658363,F5147DRAFT_658363,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696689,F5147DRAFT_658365,F5147DRAFT_658365,-,-,Unknown,-,zf-PARP-domain-containing protein,protein-coding,-,-,-,zf-PARP-domain-containing protein,20210605,-
1912936,64696690,F5147DRAFT_658368,F5147DRAFT_658368,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696691,F5147DRAFT_658369,F5147DRAFT_658369,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696692,F5147DRAFT_658371,F5147DRAFT_658371,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696693,F5147DRAFT_658383,F5147DRAFT_658383,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696694,F5147DRAFT_658385,F5147DRAFT_658385,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696695,F5147DRAFT_658399,F5147DRAFT_658399,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696696,F5147DRAFT_658414,F5147DRAFT_658414,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696697,F5147DRAFT_658425,F5147DRAFT_658425,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696698,F5147DRAFT_658430,F5147DRAFT_658430,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696699,F5147DRAFT_658459,F5147DRAFT_658459,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696700,F5147DRAFT_658460,F5147DRAFT_658460,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696701,F5147DRAFT_658465,F5147DRAFT_658465,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696702,F5147DRAFT_658471,F5147DRAFT_658471,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696703,F5147DRAFT_658472,F5147DRAFT_658472,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696704,F5147DRAFT_658473,F5147DRAFT_658473,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696705,F5147DRAFT_658483,F5147DRAFT_658483,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696706,F5147DRAFT_658485,F5147DRAFT_658485,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696707,F5147DRAFT_658493,F5147DRAFT_658493,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696708,F5147DRAFT_658496,F5147DRAFT_658496,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696709,F5147DRAFT_658498,F5147DRAFT_658498,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696710,F5147DRAFT_658500,F5147DRAFT_658500,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696711,F5147DRAFT_658504,F5147DRAFT_658504,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696712,F5147DRAFT_658507,F5147DRAFT_658507,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696713,F5147DRAFT_658508,F5147DRAFT_658508,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696714,F5147DRAFT_658523,F5147DRAFT_658523,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696715,F5147DRAFT_658538,F5147DRAFT_658538,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696716,F5147DRAFT_658541,F5147DRAFT_658541,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696717,F5147DRAFT_658545,F5147DRAFT_658545,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696718,F5147DRAFT_658555,F5147DRAFT_658555,-,-,Unknown,-,P-loop containing nucleoside triphosphate hydrolase protein,protein-coding,-,-,-,P-loop containing nucleoside triphosphate hydrolase protein,20210605,-
1912936,64696719,F5147DRAFT_658575,F5147DRAFT_658575,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696720,F5147DRAFT_658578,F5147DRAFT_658578,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696721,F5147DRAFT_658579,F5147DRAFT_658579,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696722,F5147DRAFT_658580,F5147DRAFT_658580,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696723,F5147DRAFT_658583,F5147DRAFT_658583,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696724,F5147DRAFT_658585,F5147DRAFT_658585,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696725,F5147DRAFT_658590,F5147DRAFT_658590,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696726,F5147DRAFT_658592,F5147DRAFT_658592,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696727,F5147DRAFT_658594,F5147DRAFT_658594,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696728,F5147DRAFT_658595,F5147DRAFT_658595,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696729,F5147DRAFT_658605,F5147DRAFT_658605,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696730,F5147DRAFT_658609,F5147DRAFT_658609,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696731,F5147DRAFT_658618,F5147DRAFT_658618,-,-,Unknown,-,phosphoribosyltransferase-like protein,protein-coding,-,-,-,phosphoribosyltransferase-like protein,20210605,-
1912936,64696732,F5147DRAFT_658626,F5147DRAFT_658626,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696733,F5147DRAFT_658662,F5147DRAFT_658662,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696734,F5147DRAFT_658674,F5147DRAFT_658674,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696735,F5147DRAFT_658677,F5147DRAFT_658677,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696736,F5147DRAFT_658678,F5147DRAFT_658678,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696737,F5147DRAFT_658685,F5147DRAFT_658685,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696738,F5147DRAFT_658688,F5147DRAFT_658688,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696739,F5147DRAFT_658689,F5147DRAFT_658689,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696740,F5147DRAFT_658691,F5147DRAFT_658691,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696741,F5147DRAFT_658694,F5147DRAFT_658694,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696742,F5147DRAFT_658712,F5147DRAFT_658712,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696743,F5147DRAFT_658714,F5147DRAFT_658714,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696744,F5147DRAFT_658722,F5147DRAFT_658722,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696745,F5147DRAFT_658723,F5147DRAFT_658723,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696746,F5147DRAFT_658725,F5147DRAFT_658725,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696747,F5147DRAFT_658738,F5147DRAFT_658738,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696748,F5147DRAFT_658748,F5147DRAFT_658748,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696749,F5147DRAFT_658751,F5147DRAFT_658751,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696750,F5147DRAFT_658761,F5147DRAFT_658761,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696751,F5147DRAFT_658767,F5147DRAFT_658767,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696752,F5147DRAFT_658777,F5147DRAFT_658777,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696753,F5147DRAFT_6588,F5147DRAFT_6588,-,-,Unknown,-,exocyst complex component Sec3-domain-containing protein,protein-coding,-,-,-,exocyst complex component Sec3-domain-containing protein,20210605,-
1912936,64696754,F5147DRAFT_658803,F5147DRAFT_658803,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696755,F5147DRAFT_658806,F5147DRAFT_658806,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696756,F5147DRAFT_658807,F5147DRAFT_658807,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696757,F5147DRAFT_658813,F5147DRAFT_658813,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696758,F5147DRAFT_658817,F5147DRAFT_658817,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696759,F5147DRAFT_658820,F5147DRAFT_658820,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696760,F5147DRAFT_658824,F5147DRAFT_658824,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696761,F5147DRAFT_658828,F5147DRAFT_658828,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696762,F5147DRAFT_658829,F5147DRAFT_658829,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64696763,F5147DRAFT_658832,F5147DRAFT_658832,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64696764,F5147DRAFT_658833,F5147DRAFT_658833,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
